Sample,Autosome,X,diff_auto_X,P_value,Q_value
PD42079c_hum,1.002326007,0.753986324,0.248339683,0,0
PD42077c_hum,1.007126566,0.840080466,0.167046099,1.38E-14,7.98E-13
PD30969d_hum,0.993670134,0.84509048,0.148579654,3.40E-14,1.48E-12
PD42083c_hum,0.999657904,0.842985969,0.156671935,9.24E-13,3.22E-11
PD42075c_hum,1.035711744,0.791422551,0.244289193,1.66E-12,4.83E-11
PD42056c_hum,1.015971932,0.800616026,0.215355906,2.30E-12,5.73E-11
PD42084c_hum,1.013252652,0.879894401,0.133358251,6.58E-11,1.40E-09
PD42090c_hum,0.999922946,0.860709044,0.139213902,7.22E-11,1.40E-09
PD42085c_hum,1.009733123,0.89019009,0.119543032,1.78E-09,3.11E-08
PD42055c_hum,1.038651514,0.844646357,0.194005158,3.42E-09,5.40E-08
PD30968g_hum,1.00022518,0.921508735,0.078716445,4.57E-09,6.63E-08
PD42061c_hum,1.02156261,0.858473946,0.163088664,1.73E-08,2.32E-07
PD42083d_hum,1.003168099,1.103223055,0.100054956,1.02E-07,1.27E-06
PD42076c_hum,1.037887077,0.896571029,0.141316049,3.42E-07,3.97E-06
PD30975b_hum,1.0057752,0.892810214,0.112964985,1.73E-05,0.000176838
PD42042a_hum,1.058596302,0.883780804,0.174815498,1.64E-05,0.000176838
PD42070e_hum,1.002400361,1.058416169,0.056015808,4.33E-05,0.000418413
PD42070d_hum,1.002337887,0.942554152,0.059783735,0.000107657,0.000985914
PD30968b_hum,0.998643725,0.956541312,0.042102414,0.000139477,0.001213448
PD42090f_hum,1.067403058,0.832559368,0.234843689,0.000725722,0.006013124
PD30974b_hum,1.020217193,0.891930261,0.128286932,0.000766408,0.006061593
PD42076a_hum,1.010234257,0.870315651,0.139918606,0.001095391,0.008286871
PD42066c_hum,1.026441083,0.941296051,0.085145032,0.001153992,0.008303575
PD42076f_hum,1.009906801,0.940309977,0.069596824,0.001193042,0.008303575
PD42077g_hum,1.015248755,0.962199862,0.053048893,0.001747689,0.011696076
PD42067g_hum,1.05364836,0.914629979,0.139018381,0.00191855,0.012363989
PD42090d_hum,1.005940856,1.058534396,0.05259354,0.002280657,0.014172652
PD42053d_hum,0.99193413,1.041285352,0.049351222,0.002382759,0.014296553
PD42085a_hum,0.998783409,0.943097688,0.055685721,0.002756152,0.015985681
PD42078g_hum,1.004097332,0.948489235,0.055608097,0.003298429,0.018513765
PD30972b_hum,1.008205774,0.945104499,0.063101274,0.004278295,0.022804249
PD42076d_hum,1.018977922,0.939120076,0.079857847,0.004456003,0.022804249
PD42078a_hum,0.996778754,0.93907297,0.057705784,0.004325254,0.022804249
PD42040a_hum,1.03523981,0.949645602,0.085594208,0.005135566,0.02415104
PD42079f_hum,1.000273909,1.046205449,0.04593154,0.00502277,0.02415104
PD42083g_hum,1.012294624,0.939686557,0.072608067,0.005048042,0.02415104
PD30967g_hum,1.010417646,0.966228326,0.04418932,0.006735325,0.030840699
PD42075a_hum,1.027313854,0.965636914,0.06167694,0.01050543,0.046870382
PD42055a_hum,1.063909283,0.967852357,0.096056926,0.011381319,0.049508736
PD30977b_hum,1.003269669,0.969145985,0.034123684,0.015022,0.063751904
PD42041c_hum,1.048939044,0.952516108,0.096422936,0.017093069,0.067935766
PD42070c_hum,1.010245655,0.930558816,0.079686839,0.017179159,0.067935766
PD42079a_hum,1.003982694,0.968703514,0.035279179,0.016626306,0.067935766
PD30969f_hum,0.987622508,0.959687915,0.027934593,0.01981016,0.070398237
