	Xmean	Xsd	Xsize	autoMean	autoSd	autoSize	cloneSize
PD30967c_hum	0.972432338	0.116211462	309	0.969141038	0.206935017	6686	0.055135323
PD30969d_hum	0.848216704	0.092895183	309	0.965182457	0.186521549	6686	0.303566592
PD40668d_hum	0.994424046	0.225979934	309	1.011438649	0.247115898	6686	0.011151908
PD40669d_hum	0.964278173	0.209219001	309	1.026649608	0.225615989	6686	0.071443654
PD42040c_hum	0.975549279	0.16509265	309	0.982086047	0.219701807	6686	0.048901442
PD42041c_hum	1.005832163	0.307834713	309	1.00326443	0.293996404	6686	-0.011664326
PD42053c_hum	1.013160404	0.21102861	309	1.011983506	0.274492551	6686	-0.026320809
PD42055c_hum	0.856567608	0.1408082	309	0.974636304	0.221823638	6686	0.286864784
PD42056c_hum	0.827327137	0.142505616	309	0.972331525	0.228417797	6686	0.345345726
PD42061c_hum	0.847192324	0.140010083	309	0.97269722	0.226761322	6686	0.305615352
PD42066c_hum	0.968330405	0.159493111	309	0.97724075	0.212555481	6686	0.06333919
PD42068c_hum	0.998356024	0.167622001	309	0.972861289	0.230599474	6686	0.003287952
PD42070d_hum	0.920867194	0.106021813	309	0.965248403	0.218321017	6686	0.158265612
PD42071c_hum	0.948613807	0.237403245	309	0.994485561	0.299687687	6686	0.102772386
PD42073c_hum	0.976407619	0.325051945	309	1.028262431	0.314148778	6686	0.047184762
PD42075c_hum	0.865161563	0.164860478	309	0.989826064	0.220168529	6686	0.269676874
PD42076c_hum	0.970981847	0.166930341	309	1.004955122	0.182837229	6686	0.058036305
PD42077c_hum	0.875472172	0.093269479	309	0.972226744	0.178986336	6686	0.249055656
PD42078c_hum	0.992201282	0.096884753	309	0.961353218	0.201546752	6686	0.015597437
PD42079c_hum	0.748398506	0.074892711	309	0.967372699	0.231233082	6686	0.503202988
PD42083c_hum	0.90449042	0.093484819	309	0.961520565	0.188316011	6686	0.19101916
PD42084c_hum	0.882509233	0.108632126	309	0.976810368	0.19135432	6686	0.234981534
PD42085c_hum	0.904903469	0.090382275	309	0.970097362	0.190590717	6686	0.190193062
PD42088c_hum	1.011612948	0.328623422	309	1.055073216	0.362540819	6686	-0.023225897
PD42089c_hum	1.052884712	0.250332831	309	1.076105822	1.423185031	6686	-0.105769424
PD42090c_hum	0.824230684	0.111291874	309	0.975475864	0.207997133	6686	0.351538633
PD42089k_hum	1.016884175	0.15743855	309	0.971962112	0.215810376	6686	-0.033768349
PD42088k_hum	1.026455449	0.184143893	309	0.983504917	0.227941972	6686	-0.052910897
PD42085k_hum	0.971933279	0.126212983	309	0.972383489	0.203361571	6686	0.056133442
PD42084k_hum	1.00583097	0.294847972	309	1.028730294	0.336819438	6686	-0.01166194
PD42073j_hum	1.030389114	0.258495398	309	1.025793061	0.341532216	6686	-0.060778229
PD42070l_hum	0.981688958	0.155416964	309	0.973451956	0.221953041	6686	0.036622084
PD42068j_hum	1.002754165	0.101554746	309	0.959954167	0.200279611	6686	-0.005508331
PD42066j_hum	1.021769055	0.116996437	309	0.971250962	0.192870606	6686	-0.04353811
PD42061k_hum	0.979797635	0.101484304	309	0.964871847	0.200586894	6686	0.040404729
PD42060j_hum	1.011854008	0.099095166	309	0.967358569	0.183598611	6686	-0.023708016
PD42057e_hum	1.012771968	0.146031169	309	0.971731896	0.227439082	6686	-0.025543937
PD42041j_hum	0.998207017	0.127161816	309	0.973402254	0.205784843	6686	0.003585966
PD40669j_hum	1.041331329	0.218871791	309	1.005493605	0.276688497	6686	-0.082662658
PD40668j_hum	1.039578054	0.218606938	309	1.007219197	0.26136887	6686	-0.079156108
