Signature1 Signature2 Signature3 Signature4 Signature5 Signature6 Signature7 Signature8 Signature9 Signature10 Signature11 Signature12 Signature13 Signature14 Signature15 Signature16 Signature17 Signature18 Signature20
ACA>AAA 0.0152674690720354 0.00167696071246041 0.0338404558128505 0.00607251794718205 0.0138017871323755 0.0156516459468734 0.00703261632086087 0.00515813725880186 0.00431631084414926 0.0133093869990968 0.0213869960612791 0.0233954671858225 0.025376730173539 0.00674850104102379 0.0117854207859167 0.00824190746143207 0.00435858892329127 0.00599301742303776 0.0102488649152429
ACC>AAC 0.00772525543590223 0.00127781391537029 0.0234665258352956 0.00714828266811862 0.0152938545720081 0.00792025117977781 0.00488520721481372 0.00670652007942356 0.00955042815047927 0.00509032411969653 0.00723605541493554 0.00499860071945466 0.00346143122026237 0.00850915090191203 0.0260708651652155 0.00289747589565907 0.0233712321379513 0.00295428434755929 0.0027955914386288
ACG>AAG 0.00189620665548775 0.000146654320369261 0.00271190999784212 0.00140215783434156 0.00240325936916025 0.000865328257038978 0.00091060998528956 0.000887694666568976 0.00456245545779767 0.0141447891794335 0.00289939639631985 0.00419941115297683 0.00363176394848467 0.0074643513778408 0.00907941316474612 0.000938929669209972 0.00020359361331399 0.002863903428809 0.00571944147503732
ACT>AAT 0.0075238725887163 0.00104479960766355 0.0221446782750349 0.00251315127582471 0.00589220789661533 0.0122101025791138 0.00535082552984794 0.0012569081307929 0.00524223736667183 0.0229752770191082 0.00967834244365338 0.015298512792274 0.0030028972829175 0.0223418734012912 0.0170645710141239 0.003579705758116 0.00429433996668689 0.00186942058121448 0.00343230833218082
CCA>CAA 0.0131549670862664 0.00224126193897542 0.0324155333710385 0.0096204557584604 0.00916393864910591 0.0206403742885422 0.028361455206868 0.00689645193875252 0.00693131635377937 0.0486067615989587 0.00810811666213499 0.00456824394280302 0.00285958765789959 0.0295143083582856 0.00415209311519731 0.0129751903137954 0.0130658243049466 0.00364160098143738 0.0131675176653474
CCC>CAC 0.00555647956603261 0.00150606343666927 0.0213257604980188 0.00599854006863109 0.00577664905274501 0.00590722067354589 0.0116579990382023 0.000521818612811341 0.00296505023792016 0.0233101625593137 0.00305019903089504 0.0158863708730682 0.00704887003203564 0.00764778849546599 0.00378683033597498 0.00342579804815543 0.013471560289804 0.00748538633765281 0.00419583137163443
CCG>CAG 0.00133183879452452 0.000641414084498238 0.00526481690123707 0.00101999195626086 0.0020348817400817 0.00321446562815284 0.00727468131140241 0.00373120057979529 0.00121250666571885 0.00673775728593521 0.00820116616860999 0.00534281167911348 0.00930087651188822 0.00173815726947885 0.00139098077093533 0.000943568450994824 0.0142143933802924 0.00124733783521597 0.00208045377622734
CCT>CAT 0.00723485611014315 0.00173960341878137 0.0223735550269092 0.00627511447724779 0.0172520311507586 0.00915480488060197 0.0123860187563787 0.0061991285352976 0.00522721294929763 0.00477272183206016 0.00204623453293379 0.00483507169491149 0.00391666692920224 0.0202337280459766 0.00292462690399411 0.00871547130637412 0.00188474248010688 0.0117722011567123 0.0221791053850696
GCA>GAA 0.00969933079756767 0.00108064489216635 0.0286880459461911 0.00589526277405476 0.0179340407577525 0.0177023972693807 0.00971774120907691 0.00710314273012711 0.00434496523054529 0.0054733759590183 0.012622713240223 0.00513723226147384 0.00469941469467018 0.0132808731673952 0.0132239183276968 0.0105478816323795 0.00372804066286439 0.0104042311951788 0.00305002367660875
GCC>GAC 0.00461879374169909 0.00171590900517392 0.0240027897072695 0.00308949026326546 0.0102410930033478 0.00811582703671713 0.00290170816862589 0.00194442334052802 0.00468877696887576 0.00699669313329729 0.00371630556378931 0.0135816365596083 0.00240123581235301 0.0153346633780507 0.0181791247989636 0.002603651026698 0.0215236888981 0.0125332248475984 0.0154597384636121
