LCM cut name,Sample_ID,x,y
PD42769a_CD20_1,PD42769a_CD20_1,615,805
PD42769a_CD20_2,PD42769a_CD20_2,475,800
PD42769a_CD20_3,PD42769a_CD20_3,370,460
PD42769a_CD20_8,PD42769a_CD20_8,790,805
PD42769a_gland9,PD42769a_lo0049,887,361
PD42769a_duct14,PD42769a_lo0051,826,328
PD42769a_duct15,PD42769a_lo0052,800,320
PD42769a_glands14,PD42769a_lo0056,700,335
PD42769a_duct16,PD42769a_lo0057,700,380
PD42769a_gland15,PD42769a_lo0058,824,205
PD42769a_gland18,PD42769a_lo0061,800,88
PD42769a_glands19,PD42769a_lo0062,20,190
PD42769a_glands20,PD42769a_lo0063,686,50
PD42769a_duct17,PD42769a_lo0073,720,230
PD42769a_duct18,PD42769a_lo0074,675,170
