ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
PD42769_9	4	0	1	2	0	2	0	2	2	0	0	1	0	1	0	1	3	2	0	4	1	0	0	2	0	0	0	2	3	0	1	5	5	5	8	5	6	2	6	5	6	1	10	3	6	3	7	5	0	0	0	0	1	0	2	0	0	1	1	1	2	2	0	1	9	2	6	4	2	1	3	2	3	1	4	3	5	3	1	4	0	1	5	5	2	1	0	3	2	1	0	0	2	0	2	2
PD42769_22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PD42769_17	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD42769_3	10	1	0	3	11	2	0	10	11	2	0	5	14	5	4	14	11	1	0	10	3	9	1	9	0	5	1	3	4	5	0	7	5	3	9	4	3	5	2	4	6	3	8	4	7	8	0	8	8	4	7	11	6	2	3	11	5	3	3	4	11	4	6	9	10	8	1	7	4	6	2	9	6	5	0	3	2	12	3	8	8	4	4	16	6	13	8	89	5	5	8	53	19	3	12	64
PD42769_7	7	12	1	5	7	3	1	2	6	3	3	3	4	7	0	7	5	2	0	7	1	1	1	6	2	0	0	8	3	2	1	10	12	3	19	9	11	11	14	9	7	12	16	9	9	7	7	12	9	4	2	10	3	4	11	4	1	2	1	1	5	3	7	8	18	5	7	10	5	2	2	5	4	5	5	7	1	4	5	4	3	2	2	6	1	4	2	24	2	1	2	7	4	1	2	12
PD42769_5	2	2	0	0	0	1	0	4	2	1	0	1	2	1	0	3	3	0	0	3	2	1	4	3	1	0	0	0	1	0	1	0	4	2	4	4	0	3	3	5	5	2	4	2	2	2	3	2	1	0	2	1	0	2	1	3	1	0	3	1	3	1	1	1	4	1	2	4	1	1	5	0	2	0	1	4	2	0	0	2	1	1	2	6	0	1	1	1	1	1	1	0	1	0	1	3
PD42769_11	7	2	0	3	5	4	2	3	5	5	0	3	11	4	1	3	4	0	1	3	1	1	2	1	6	3	1	1	3	2	0	3	3	2	2	1	2	4	5	5	2	1	2	5	3	1	4	4	10	1	4	0	3	0	3	1	1	2	1	0	6	2	0	3	5	3	4	2	3	0	2	0	1	0	3	3	2	2	0	4	1	1	6	0	1	1	2	2	0	1	0	0	3	1	4	6
PD42769_6	6	3	0	4	3	2	1	3	3	1	1	2	5	5	1	6	3	3	1	1	4	3	0	4	5	0	1	2	2	1	0	6	5	8	8	4	4	5	3	9	5	7	5	6	3	7	4	3	4	0	2	8	1	1	4	5	1	3	0	0	6	1	1	3	6	2	5	4	3	2	0	4	6	0	0	5	0	4	2	1	3	0	2	1	2	1	3	3	1	0	0	1	2	4	3	6
PD42769_14	2	2	1	4	0	0	0	2	0	1	0	0	3	1	1	5	2	1	0	4	1	3	0	0	0	1	1	1	0	1	0	1	5	1	1	0	2	1	2	2	2	3	0	0	2	1	1	0	1	1	1	2	0	1	2	1	0	3	2	0	2	1	0	1	6	0	1	5	1	1	1	0	0	1	0	1	0	1	0	2	1	1	1	2	0	2	2	2	0	0	0	0	3	2	6	2
PD42769_21	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	1	2	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PD42769_1	0	1	0	0	0	2	0	3	1	0	0	1	9	5	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	2	0	0	0	0	1	1	1	1	0
PD42769_10	1	2	0	3	2	1	0	0	0	0	0	0	0	2	1	0	3	0	0	0	2	0	0	1	1	0	1	1	1	0	0	0	1	0	2	2	1	0	0	2	1	0	0	0	0	1	3	1	1	2	1	3	0	0	0	1	0	0	0	1	4	1	0	0	4	0	2	4	0	1	0	0	1	0	0	1	0	1	0	0	1	1	11	2	1	0	6	2	0	1	0	2	3	0	4	4
PD42769_15	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	5	0	1	0	4	0	0	0	5	1	1	1	0	2	2	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	2	0	1	1	0	0	1	1	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1
PD42769_12	5	0	0	2	2	3	0	2	2	2	0	0	6	2	1	1	0	0	0	2	3	1	0	1	0	0	0	0	1	0	0	2	2	0	6	0	6	1	1	3	4	3	1	0	0	2	0	1	1	0	2	2	2	0	0	1	1	0	1	0	4	1	0	4	4	1	1	4	1	2	0	0	0	0	1	0	1	1	0	2	0	0	3	1	1	0	0	1	1	0	0	1	2	2	7	4
PD42769_8	2	2	0	2	5	1	0	2	4	2	0	1	3	2	1	3	2	0	0	0	0	1	1	1	1	2	0	1	0	2	0	1	3	1	5	1	4	3	5	2	2	3	3	1	5	3	3	3	1	1	1	3	0	1	3	1	1	0	1	1	4	0	1	1	6	2	7	2	2	0	2	3	3	1	3	2	0	0	2	2	1	0	0	1	2	0	1	1	0	0	2	1	1	0	0	2
PD42769_13	3	2	0	3	9	4	1	1	7	2	2	0	8	8	0	5	6	0	0	3	4	1	2	2	3	1	1	3	1	0	0	2	4	3	3	1	2	4	4	6	3	2	4	5	1	4	2	0	5	2	2	2	2	4	4	4	0	0	4	1	6	1	2	2	4	1	5	5	3	1	0	0	3	0	1	2	3	2	1	0	2	1	4	3	0	1	3	2	0	1	3	0	2	2	2	3
PD42769_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD42769_24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PD42769_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
