sample	batch	tissue	fmol	expected_coverage	mean_duplex_cov	median_duplex_cov	mean_bulk_cov	pct_selected_bases	all_est_efficiency	all_dup_rate	all_f_eff	all_gc_both	all_gc_single	all_prop_ok_bundles	inpanel_est_efficiency	inpanel_dup_rate	inpanel_f_eff	inpanel_gc_both	inpanel_gc_single	inpanel_prop_ok_bundles	pass_subs	total_subs	pass_indels	total_indels	total_sites	observed_burden	observed_burden_lci	observed_burden_uci	corrected_burden	corrected_burden_lci	corrected_burden_uci
PD42759a_tds0001	2	Bulk_NonSjogrens	85	255	301.9586133	272	1581.643931	0.714644	0.040835158	0.697445531	0.3349414	0.4975052	0.5122451	0.133622178	0.045022586	0.770195597	0.3439292	0.5001687	0.5153153	0.189490933	3784	5288	347	467	17115401276	2.21E-07	2.14E-07	2.28E-07	2.00E-07	1.93E-07	2.06E-07
PD42760a_tds0001	2	Bulk_NonSjogrens	85	255	241.2199949	216	1424.215829	0.731231	0.034817129	0.726560106	0.4528691	0.4759485	0.5040727	0.125617797	0.037292495	0.790925765	0.46439	0.4774764	0.509161	0.173253675	2828	7130	282	489	14427959016	1.96E-07	1.89E-07	2.03E-07	1.82E-07	1.75E-07	1.89E-07
PD42761a_tds0001	1	Bulk_NonSjogrens	85	255	258.9036198	230	1456.959435	0.799577	0.034990325	0.755175093	0.430198	0.4925035	0.5036551	0.138918869	0.036811322	0.800285818	0.4390112	0.4961435	0.5047936	0.17996847	4028	7509	373	597	14692947427	2.74E-07	2.66E-07	2.83E-07	2.48E-07	2.41E-07	2.56E-07
PD42763a_tds0001	1	Bulk_NonSjogrens	85	255	238.2686695	215	1246.851607	0.776977	0.035111847	0.768636	0.4302916	0.4930754	0.5012994	0.146859745	0.03675181	0.815810071	0.4401376	0.494696	0.5023375	0.192881731	3306	4178	313	455	13698545509	2.41E-07	2.33E-07	2.50E-07	2.22E-07	2.15E-07	2.30E-07
PD42764a_tds0001	2	Bulk_NonSjogrens	85	255	247.8691723	221	1335.97637	0.776447	0.041877896	0.696945877	0.3149826	0.4970742	0.5101262	0.135557821	0.045785143	0.754812291	0.3230117	0.4983644	0.5125687	0.182006183	3320	4069	285	392	13706182729	2.42E-07	2.34E-07	2.51E-07	2.29E-07	2.21E-07	2.37E-07
PD42765a_tds0001	1	Bulk_NonSjogrens	85	255	215.8337698	189	1363.374264	0.808011	0.03444205	0.72786274	0.4253214	0.5011476	0.5071323	0.1225967	0.036802681	0.774502346	0.4334202	0.5040945	0.508941	0.158261205	2419	3186	263	349	11850598603	2.04E-07	1.96E-07	2.12E-07	1.86E-07	1.79E-07	1.94E-07
PD42766a_tds0001	2	Bulk_NonSjogrens	85	255	248.553118	222	1450.260995	0.766076	0.040245331	0.682947734	0.3260491	0.507923	0.523349	0.125585383	0.044338693	0.74578603	0.3348199	0.5097063	0.5254982	0.170998464	2979	4476	297	468	13686259490	2.18E-07	2.10E-07	2.26E-07	1.99E-07	1.92E-07	2.07E-07
PD42767a_tds0001	2	Sjogrens_Epithelium	24.45	73.35	41.43386869	36	329.972546	0.771786	0.021440729	0.788656668	0.6465273	0.4612921	0.490027	0.097733673	0.02183087	0.828628986	0.6524076	0.4608078	0.4886287	0.121533804	671	1023	45	75	2507132341	2.68E-07	2.48E-07	2.89E-07	2.45E-07	2.27E-07	2.64E-07
PD42767a_tds0002	1	Sjogrens_Lymphocyte	22	66	49.49118678	46	300.123625	0.788389	0.021945212	0.84331528	0.6209461	0.4725383	0.4920493	0.132912676	0.021712958	0.873672898	0.6285317	0.4752308	0.4919283	0.163107187	985	1306	80	101	3021828246	3.26E-07	3.06E-07	3.47E-07	2.88E-07	2.70E-07	3.06E-07
PD42768a_tds0001	2	Sjogrens_Epithelium	85	255	124.3144014	104	1376.481903	0.731693	0.018571455	0.725288026	0.6844516	0.4530245	0.4792482	0.066107131	0.019606153	0.779982679	0.6895015	0.4527983	0.4807523	0.085240758	2065	2404	150	237	7409897812	2.79E-07	2.67E-07	2.91E-07	2.58E-07	2.47E-07	2.70E-07
